sorted,query,city,location_id,coordinates,name,address,website,email,flagged
true,fantasy gift shop,Tampa,,,Fantasy Gifts,"375 E 7th St, St Paul, MN 55101, United States",http://fantasygiftsmn.com/,,
true,fantasy gift shop,Tampa,,,Design UR Crownz,"2067 1st Ave N suite B, St. Petersburg, FL 33713, United States",https://design-ur-crownz.square.site/,,
true,fantasy gift shop,Tampa,,,Unique India Grocery And Boutique,"10445 Gibsonton Dr, Riverview, FL 33578, United States",http://www.uniqueindiagroceryandboutique.com/,,
true,fantasy gift shop,Tampa,,,Phantom Fireworks of Tampa,"1031 E Fowler Ave, Tampa, FL 33612, United States",https://fireworks.com/locations/phantom-tampa,,
true,fantasy gift shop,Tampa,,,JohnnyB's Cards Comics & Sports,"5173 US Hwy 98 N, Lakeland, FL 33809, United States",http://www.johnnybcardsandcomics.com/,,
true,fantasy gift shop,Tampa,,,Scraporium,"16518 N Florida Ave, Lutz, FL 33549, United States",http://www.scraporium.com/,,
true,fantasy gift shop,Tampa,,,Sword & Stone Tattoo,"5915 Memorial Hwy #120, Tampa, FL 33615, United States",http://www.swordandstonetattoo.com/,,
true,fantasy gift shop,Tampa,,,Sprout Gardening,"5110 S MacDill Ave, Tampa, FL 33611, United States",https://www.facebook.com/Sprout-Gardening-129865753777073/info/?tab=overview,,
true,fantasy gift shop,Tampa,,,Bohemian Rêves,"1620 Central Ave, St. Petersburg, FL 33712, United States",https://bohemianreves.com/,,
true,fantasy gift shop,St Augustine,,,Fantasy Adult Gift Shop,"3281 Teal Rd, Lafayette, IN 47905, United States",,,
true,fantasy gift shop,St Augustine,,,Needful Things,"908 St Johns Ave, Palatka, FL 32177, United States",https://www.facebook.com/usedbooksandmore?mibextid=ZbWKwL,,
true,fantasy gift shop,St Augustine,,,Thee Fantasy Shoppe,"709 N Ridgewood Ave, Daytona Beach, FL 32114, United States",http://www.theefantasyshoppe.com/,,
