lat,lng
26.35,-68.03
26.35,-67.76
26.35,-67.49
26.35,-67.22
26.35,-66.95
26.35,-66.68
26.35,-66.41
26.35,-66.14
26.62,-125.0
26.62,-124.73
26.62,-124.46
26.62,-124.19
26.62,-123.92
26.62,-123.65
26.62,-123.38
26.62,-123.11
26.62,-122.84
26.62,-122.57
26.62,-122.3
26.62,-122.03
26.62,-121.76
26.62,-121.49
26.62,-121.22
26.62,-120.95
26.62,-120.68
26.62,-120.41
26.62,-120.14
26.62,-119.87
26.62,-119.6
26.62,-119.33
26.62,-119.06
26.62,-118.79
26.62,-118.52
26.62,-118.25
26.62,-117.98
26.62,-117.71
26.62,-117.44
26.62,-117.17
26.62,-116.9
26.62,-116.63
26.62,-116.36
26.62,-116.09
26.62,-115.82
26.62,-115.55
26.62,-115.28
26.62,-115.01
26.62,-114.74
26.62,-114.47
26.62,-114.2
26.62,-113.93
26.62,-113.66
26.62,-113.39
26.62,-113.12
26.62,-112.85
26.62,-112.58
26.62,-112.31
26.62,-112.04
26.62,-111.77
26.62,-111.5
26.62,-111.23
26.62,-110.96
26.62,-110.69
26.62,-110.42
26.62,-110.15
26.62,-109.88
26.62,-109.61
26.62,-109.34
26.62,-109.07
26.62,-108.8
26.62,-108.53
26.62,-108.26
26.62,-107.99
26.62,-107.72
26.62,-107.45
26.62,-107.18
26.62,-106.91
26.62,-106.64
26.62,-106.37
26.62,-106.1
26.62,-105.83
26.62,-105.56
26.62,-105.29
26.62,-105.02
26.62,-104.75
26.62,-104.48
26.62,-104.21
26.62,-103.94
26.62,-103.67
26.62,-103.4
26.62,-103.13
26.62,-102.86
26.62,-102.59
26.62,-102.32
26.62,-102.05
26.62,-101.78
26.62,-101.51
26.62,-101.24
26.62,-100.97
26.62,-100.7
26.62,-100.43
26.62,-100.16
26.62,-99.89
26.62,-99.62
26.62,-99.35
26.62,-99.08
26.62,-98.81
26.62,-98.54
26.62,-98.27
26.62,-98.0
26.62,-97.73
26.62,-97.46
26.62,-97.19
26.62,-96.92
26.62,-96.65
26.62,-96.38
26.62,-96.11
26.62,-95.84
26.62,-95.57
26.62,-95.3
26.62,-95.03
26.62,-94.76
26.62,-94.49
26.62,-94.22
26.62,-93.95
26.62,-93.68
26.62,-93.41
26.62,-93.14
26.62,-92.87
26.62,-92.6
26.62,-92.33
26.62,-92.06
26.62,-91.79
26.62,-91.52
26.62,-91.25
26.62,-90.98
26.62,-90.71
26.62,-90.44
26.62,-90.17
26.62,-89.9
26.62,-89.63
26.62,-89.36
26.62,-89.09
26.62,-88.82
26.62,-88.55
26.62,-88.28
26.62,-88.01
26.62,-87.74
26.62,-87.47
26.62,-87.2
26.62,-86.93
26.62,-86.66
26.62,-86.39
26.62,-86.12
26.62,-85.85
26.62,-85.58
26.62,-85.31
26.62,-85.04
26.62,-84.77
26.62,-84.5
26.62,-84.23
26.62,-83.96
26.62,-83.69
26.62,-83.42
26.62,-83.15
26.62,-82.88
26.62,-82.61
26.62,-82.34
26.62,-82.07
26.62,-81.8
26.62,-81.53
26.62,-81.26
26.62,-80.99
26.62,-80.72
26.62,-80.45
26.62,-80.18
26.62,-79.91
26.62,-79.64
26.62,-79.37
26.62,-79.1
26.62,-78.83
26.62,-78.56
26.62,-78.29
26.62,-78.02
26.62,-77.75
26.62,-77.48
26.62,-77.21
26.62,-76.94
26.62,-76.67
26.62,-76.4
26.62,-76.13
26.62,-75.86
26.62,-75.59
26.62,-75.32
26.62,-75.05
26.62,-74.78
26.62,-74.51
26.62,-74.24
26.62,-73.97
26.62,-73.7
26.62,-73.43
26.62,-73.16
26.62,-72.89
26.62,-72.62
26.62,-72.35
26.62,-72.08
26.62,-71.81
26.62,-71.54
26.62,-71.27
26.62,-71.0
26.62,-70.73
26.62,-70.46
26.62,-70.19
26.62,-69.92
26.62,-69.65
26.62,-69.38
26.62,-69.11
26.62,-68.84
26.62,-68.57
26.62,-68.3
26.62,-68.03
26.62,-67.76
26.62,-67.49
26.62,-67.22
26.62,-66.95
26.62,-66.68
26.62,-66.41
26.62,-66.14
26.89,-125.0
26.89,-124.73
26.89,-124.46
26.89,-124.19
26.89,-123.92
26.89,-123.65
26.89,-123.38
26.89,-123.11
26.89,-122.84
26.89,-122.57
26.89,-122.3
26.89,-122.03
26.89,-121.76
26.89,-121.49
26.89,-121.22
26.89,-120.95
26.89,-120.68
26.89,-120.41
26.89,-120.14
